Test Case;Threshold;Acuracy
0;0,1;36,26373626373626
0;0,3;86,08058608058609
0;0,4;83,51648351648352
0;0,5;63,369963369963365
0;0,6;63,73626373626373
1;0,1;56,043956043956044
1;0,3;92,67399267399267
1;0,4;78,02197802197803
1;0,5;44,68864468864469
1;0,6;44,32234432234432
2;0,1;42,857142857142854
2;0,3;75,45787545787546
2;0,4;99,63369963369964
2;0,5;97,06959706959707
2;0,6;64,83516483516483
3;0,1;100,0
3;0,3;100,0
3;0,4;98,53479853479854
3;0,5;63,369963369963365
3;0,6;31,868131868131865
4;0,1;22,344322344322347
4;0,3;78,75457875457876
4;0,4;92,67399267399267
4;0,5;79,12087912087912
4;0,6;77,65567765567766
5;0,1;100,0
5;0,3;75,82417582417582
5;0,4;71,06227106227107
5;0,5;50,18315018315018
5;0,6;0,0
6;0,1;51,64835164835166
6;0,3;67,3992673992674
6;0,4;93,77289377289377
6;0,5;91,94139194139194
6;0,6;54,57875457875458
7;0,1;100,0
7;0,3;87,17948717948718
7;0,4;77,2893772893773
7;0,5;69,59706959706959
7;0,6;38,095238095238095
8;0,1;37,362637362637365
8;0,3;67,3992673992674
8;0,4;92,67399267399267
8;0,5;74,72527472527473
8;0,6;62,637362637362635
